model_id,alternative_name,category,split,quality,sysml_path,source_text_path,likert_score,similarity_percent,source_structure_score,source_behavior_score,source_data_score,token_recall_percent,readiness_percent,readiness_band,l1_structural_score,l2_behavioral_score,l3_property_score,observability_score,repair_score,sequence_validity,tradespace_score,recommendation,source_keys
867,sysml_model_0867,industrial,agent,B,data/000867/000867.sysml,data/000867/000867.txt,3,64.8,83.8,52,41.9,66.5,92.9,SENTINEL-Ready,100.0,84.6,87.8,100.0,98.2,99.5%,85.9,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
868,sysml_model_0868,industrial,agent,B,data/000868/000868.sysml,data/000868/000868.txt,4,74.1,89.1,65.5,48.4,78.5,91.2,SENTINEL-Ready,100.0,83.6,82.1,100.0,97.7,100.0%,86.9,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
869,sysml_model_0869,industrial,agent,B,data/000869/000869.sysml,data/000869/000869.txt,4,69,84.7,62.8,39.2,72.4,90.9,SENTINEL-Ready,100.0,72.3,92.3,100.0,97.6,99.7%,85.4,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
870,sysml_model_0870,energy,agent,B,data/000870/000870.sysml,data/000870/000870.txt,4,68.8,86,55.3,45.1,74.2,93.5,SENTINEL-Ready,100.0,87.0,87.8,100.0,98.3,99.6%,87.3,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
871,sysml_model_0871,medical,agent,B,data/000871/000871.sysml,data/000871/000871.txt,4,76.3,88.1,75.6,50.5,76.7,91.2,SENTINEL-Ready,100.0,86.3,81.1,97.5,97.2,100.0%,87.5,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
872,sysml_model_0872,industrial,agent,B,data/000872/000872.sysml,data/000872/000872.txt,4,69.7,81.4,63.9,45.3,74.8,91.4,SENTINEL-Ready,100.0,83.7,82.8,100.0,97.8,100.0%,86.0,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
873,sysml_model_0873,energy,agent,B,data/000873/000873.sysml,data/000873/000873.txt,3,61.1,65.1,63,48.8,61.3,92.2,SENTINEL-Ready,100.0,83.0,86.4,100.0,98.0,100.0%,84.4,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
874,sysml_model_0874,energy,agent,B,data/000874/000874.sysml,data/000874/000874.txt,3,56.6,59.1,63.8,29.7,61.9,91.2,SENTINEL-Ready,100.0,78.2,87.3,100.0,97.7,99.6%,82.5,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
875,sysml_model_0875,industrial,agent,B,data/000875/000875.sysml,data/000875/000875.txt,4,66.1,89.6,41.9,47.6,70.9,86.0,SENTINEL-Ready,100.0,68.0,84.4,90.0,94.3,99.4%,81.1,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
876,sysml_model_0876,industrial,agent,B,data/000876/000876.sysml,data/000876/000876.txt,3,55.8,77.2,36.9,30.9,61.8,92.0,SENTINEL-Ready,100.0,82.9,85.7,100.0,97.9,100.0%,82.9,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
